two_theta,intensity
25.58,0.0123563
25.6,0.0094716
25.62,0.0073484
25.64,0.0057359
25.66,0.0044851
25.68,0.003496
25.7,0.0027033
25.72,0.0020601
25.74,0.001532
25.76,0.0010981
25.78,0.0007408
25.8,0.0004463
25.82,0.000205
25.84,1.07e-05
25.86,-0.000139
25.88,-0.0002442
25.9,-0.0002975
25.92,-0.000287
25.94,-0.0002148
25.96,-6.83e-05
25.98,4.15e-05
26,0
26.02,-0.0001248
26.04,-0.0001901
26.06,-0.0001448
26.08,3.3e-06
26.1,0.0002805
26.12,0.0007386
26.14,0.0014907
26.16,0.0027464
26.18,0.0048102
26.2,0.0079863
26.22,0.0120959
26.24,0.0158885
26.26,0.0175324
26.28,0.0157924
26.3,0.0118201
26.32,0.007831
26.34,0.0049807
26.36,0.0032852
26.38,0.0023904
26.4,0.0020429
26.42,0.0020911
26.44,0.0024522
26.46,0.0029729
26.48,0.0032801
26.5,0.0033407
26.52,0.0034895
26.54,0.0040004
26.56,0.0050511
26.58,0.0069192
26.6,0.0100672
26.62,0.0150786
26.64,0.0222593
26.66,0.0302222
26.68,0.0339481
26.7,0.0313662
26.72,0.027614
26.74,0.026354
26.76,0.0272453
26.78,0.029823
26.8,0.0349164
26.82,0.0414606
26.84,0.0481676
26.86,0.0594812
26.88,0.0807235
26.9,0.1114831
26.92,0.1351186
26.94,0.1258972
26.96,0.0928338
26.98,0.061343
27,0.0396342
27.02,0.0264464
27.04,0.0189534
27.06,0.0147459
27.08,0.0119643
27.1,0.0095499
27.12,0.0073963
27.14,0.0056641
27.16,0.0043267
27.18,0.0032644
27.2,0.0024451
27.22,0.0018492
27.24,0.0014419
27.26,0.0011973
27.28,0.0011325
27.3,0.0011097
27.32,0.0010492
27.34,0.0008914
27.36,0.000794
27.38,0.0008725
27.4,0.0012147
27.42,0.0019576
27.44,0.0032897
27.46,0.0053457
27.48,0.0077746
27.5,0.0090272
27.52,0.0079671
27.54,0.0060262
27.56,0.0046364
27.58,0.0040678
27.6,0.0037972
27.62,0.0031583
27.64,0.0023468
27.66,0.0018168
27.68,0.0017145
27.7,0.0021099
27.72,0.0031443
27.74,0.0051318
27.76,0.0083349
27.78,0.0124947
27.8,0.0154352
27.82,0.0142024
27.84,0.0101939
27.86,0.0063884
27.88,0.0037588
27.9,0.0021704
27.92,0.0012783
27.94,0.0007204
27.96,0.000353
27.98,0.0001237
28,0
28.02,-4.41e-05
28.04,-8.1e-06
28.06,9.01e-05
28.08,0.0002619
28.1,0.0005246
28.12,0.0009258
28.14,0.0015335
28.16,0.0025728
28.18,0.0042866
28.2,0.0069888
28.22,0.0107262
28.24,0.0143905
28.26,0.0153789
28.28,0.0131091
28.3,0.0101572
28.32,0.0084154
28.34,0.0082744
28.36,0.0098227
28.38,0.0132505
28.4,0.0185828
28.42,0.0253178
28.44,0.0300058
28.46,0.0303006
28.48,0.0290644
28.5,0.0269458
28.52,0.0227166
28.54,0.0183564
28.56,0.0152427
28.58,0.0129369
28.6,0.0111007
28.62,0.0101671
28.64,0.0107013
28.66,0.0132347
28.68,0.0185961
28.7,0.0277713
28.72,0.0406722
28.74,0.052463
28.76,0.0533769
28.78,0.0427613
28.8,0.0296026
28.82,0.0193677
28.84,0.0125279
28.86,0.0082256
28.88,0.0055776
28.9,0.0039061
28.92,0.0028
28.94,0.0020373
28.96,0.0014903
28.98,0.0011394
29,0.0008909
29.02,0.0007609
29.04,0.0007592
29.06,0.0008869
29.08,0.0011281
29.1,0.0013741
29.12,0.0015213
29.14,0.0017067
29.16,0.0020241
29.18,0.0024011
29.2,0.0029478
29.22,0.0039258
29.24,0.0053387
29.26,0.0067485
29.28,0.0080041
29.3,0.0101736
29.32,0.0141679
29.34,0.0195474
29.36,0.0229613
29.38,0.0207463
29.4,0.0157354
29.42,0.0119295
29.44,0.0103623
29.46,0.0104256
29.48,0.0102764
29.5,0.0084489
29.52,0.0059477
29.54,0.003911
29.56,0.0025517
29.58,0.0017486
29.6,0.0013337
29.62,0.0011978
